product_id,product,description,brand,sku,category,subcategory,price,discount_percentage,discounted_price,rating,stock,warranty_information,shipping_information,availability_status,return_policy,min_order_quantity,thumbnail
27,Honey Jar,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",NULL,GRO-BRD-HON-027,Groceries,Condiments,6.99,14.4,5.98,3.97,34,1 month,1-2 business days,In Stock,90 days,47,https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp
28,Ice Cream,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",NULL,GRO-BRD-CRE-028,Groceries,Desserts,5.49,8.69,5.01,3.39,27,1 month,2 weeks,In Stock,No return,42,https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp
29,Juice,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",NULL,GRO-BRD-JUI-029,Groceries,Beverages,3.99,12.06,3.51,3.94,50,6 months,1 week,In Stock,No return,25,https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp
30,Kiwi,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",NULL,GRO-BRD-KIW-030,Groceries,Fruits,2.49,15.22,2.11,4.93,99,6 months,overnight,In Stock,7 days,30,https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp
31,Lemon,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",NULL,GRO-BRD-LEM-031,Groceries,Fruits,0.79,9.7,0.71,3.53,31,No,1 month,In Stock,7 days,29,https://cdn.dummyjson.com/product-images/groceries/lemon/thumbnail.webp
32,Milk,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",NULL,GRO-BRD-MIL-032,Groceries,Dairy,3.49,13.74,3.01,2.61,27,3 year,2 weeks,In Stock,7 days,5,https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp
33,Mulberry,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",NULL,GRO-BRD-MUL-033,Groceries,Fruits,4.99,12.87,4.35,4.95,99,2 year,1 week,In Stock,No return,43,https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp
34,Nescafe Coffee,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",Nescafe,GRO-BRD-NES-034,Groceries,Coffee,7.99,1.59,7.86,4.82,57,1 year,1-2 business days,In Stock,30 days,8,https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/thumbnail.webp
35,Potatoes,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",NULL,GRO-BRD-POT-035,Groceries,Vegetables,2.29,5.38,2.17,4.81,13,3 year,3-5 business days,In Stock,90 days,9,https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp
36,Protein Powder,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",NULL,GRO-BRD-PRO-036,Groceries,Health Supplements,19.99,7.59,18.47,4.18,80,1 week,1 month,In Stock,No return,6,https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp
37,Red Onions,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",NULL,GRO-BRD-ONI-037,Groceries,Vegetables,1.99,9.9,1.79,4.2,82,1 month,3-5 business days,In Stock,7 days,8,https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp
38,Rice,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",NULL,GRO-BRD-RIC-038,Groceries,Grains,5.99,9.29,5.43,3.18,59,6 months,overnight,In Stock,No return,20,https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp
39,Soft Drinks,"Assorted soft drinks in various flavors, perfect for refreshing beverages.",NULL,GRO-BRD-SOF-039,Groceries,Beverages,1.99,17.48,1.64,4.75,53,6 months,2 weeks,In Stock,7 days,10,https://cdn.dummyjson.com/product-images/groceries/soft-drinks/thumbnail.webp
40,Strawberry,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",NULL,GRO-BRD-STR-040,Groceries,Fruits,3.99,1.12,3.95,3.08,46,1 week,1-2 business days,In Stock,No return,12,https://cdn.dummyjson.com/product-images/groceries/strawberry/thumbnail.webp
41,Tissue Paper Box,"Convenient tissue paper box for everyday use, providing soft and absorbent tissues.",NULL,GRO-BRD-TIS-041,Groceries,Household Essentials,2.49,13.28,2.16,2.69,86,No,1-2 business days,In Stock,90 days,44,https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/thumbnail.webp
42,Water,"Pure and refreshing bottled water, essential for staying hydrated throughout the day.",NULL,GRO-BRD-WAT-042,Groceries,Beverages,0.99,14.92,0.84,4.96,53,3 months,1 month,In Stock,7 days,28,https://cdn.dummyjson.com/product-images/groceries/water/thumbnail.webp
43,Decoration Swing,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",NULL,HOM-BRD-DEC-043,Home-Decoration,Swing,59.99,10.41,53.75,3.16,47,1 week,1 month,In Stock,90 days,8,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/thumbnail.webp
44,Family Tree Photo Frame,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",NULL,HOM-BRD-FAM-044,Home-Decoration,Photo Frame,29.99,14.87,25.53,4.53,77,1 month,2 weeks,In Stock,No return,15,https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/thumbnail.webp
45,House Showpiece Plant,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,NULL,HOM-BRD-HOU-045,Home-Decoration,Artificial Plants,39.99,7.46,37.01,4.67,28,1 year,1 week,In Stock,No return,3,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/thumbnail.webp
46,Plant Pot,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",NULL,HOM-BRD-PLA-046,Home-Decoration,Plant Accessories,14.99,6.84,13.96,3.01,59,Lifetime,3-5 business days,In Stock,30 days,31,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp
47,Table Lamp,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",NULL,HOM-BRD-TAB-047,Home-Decoration,Lighting,49.99,7.09,46.45,3.55,9,3 months,1-2 business days,In Stock,90 days,2,https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/thumbnail.webp
48,Bamboo Spatula,"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",NULL,KIT-BRD-BAM-048,Kitchen-Accessories,Utensils,7.99,2.84,7.76,3.27,37,1 month,overnight,In Stock,60 days,29,https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/thumbnail.webp
49,Black Aluminium Cup,The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.,NULL,KIT-BRD-BLA-049,Kitchen-Accessories,Cups,5.99,15.65,5.05,4.46,75,1 year,overnight,In Stock,30 days,48,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/thumbnail.webp
50,Black Whisk,The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.,NULL,KIT-BRD-BLA-050,Kitchen-Accessories,Utensils,9.99,10.24,8.97,3.9,73,3 months,1 month,In Stock,30 days,40,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/thumbnail.webp
51,Boxed Blender,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",NULL,KIT-BRD-BOX-051,Kitchen-Accessories,Blenders,39.99,7.26,37.09,4.56,9,5 year,1-2 business days,In Stock,7 days,4,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp
52,Carbon Steel Wok,"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",NULL,KIT-BRD-CAR-052,Kitchen-Accessories,Woks,29.99,6.53,28.03,4.05,40,2 year,1-2 business days,In Stock,7 days,9,https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/thumbnail.webp
53,Chopping Board,"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",NULL,KIT-BRD-CHO-053,Kitchen-Accessories,Cutting Boards,12.99,8.03,11.95,3.7,14,3 months,2 weeks,In Stock,No return,5,https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp
54,Citrus Squeezer Yellow,The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.,NULL,KIT-BRD-CIT-054,Kitchen-Accessories,Juicers,8.99,12.1,7.9,4.63,22,2 year,3-5 business days,In Stock,60 days,38,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/thumbnail.webp
55,Egg Slicer,"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",NULL,KIT-BRD-SLI-055,Kitchen-Accessories,Slicers,6.99,14.76,5.96,3.09,40,1 week,1 month,In Stock,No return,32,https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/thumbnail.webp
56,Electric Stove,The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.,NULL,KIT-BRD-ELE-056,Kitchen-Accessories,Cooktops,49.99,14.04,42.97,4.11,21,2 year,1 week,In Stock,7 days,8,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp
57,Fine Mesh Strainer,The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.,NULL,KIT-BRD-FIN-057,Kitchen-Accessories,Strainers,9.99,3.5,9.64,3.04,85,1 month,overnight,In Stock,7 days,43,https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/thumbnail.webp
58,Fork,The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.,NULL,KIT-BRD-FOR-058,Kitchen-Accessories,Utensils,3.99,8.07,3.67,3.11,7,No,1 month,In Stock,No return,36,https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/thumbnail.webp
59,Glass,The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.,NULL,KIT-BRD-GLA-059,Kitchen-Accessories,Glasses,4.99,7.92,4.59,4.02,46,3 year,overnight,In Stock,7 days,17,https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/thumbnail.webp
60,Grater Black,"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",NULL,KIT-BRD-GRA-060,Kitchen-Accessories,Graters,10.99,3.56,10.6,3.21,84,1 month,1 week,In Stock,60 days,5,https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/thumbnail.webp
61,Hand Blender,"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",NULL,KIT-BRD-HAN-061,Kitchen-Accessories,Blenders,34.99,17.02,29.03,3.86,84,1 year,1 week,In Stock,No return,11,https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp
62,Ice Cube Tray,The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.,NULL,KIT-BRD-CUB-062,Kitchen-Accessories,Ice Cube Trays,5.99,0.63,5.95,4.71,13,1 month,overnight,In Stock,No return,16,https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/thumbnail.webp
63,Kitchen Sieve,The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.,NULL,KIT-BRD-KIT-063,Kitchen-Accessories,Strainers,7.99,18.91,6.48,3.09,68,1 month,overnight,In Stock,No return,5,https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/thumbnail.webp
64,Knife,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",NULL,KIT-BRD-KNI-064,Kitchen-Accessories,Cutlery,14.99,18.86,12.16,3.26,7,1 month,1 week,Low Stock,7 days,50,https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/thumbnail.webp
65,Lunch Box,"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",NULL,KIT-BRD-LUN-065,Kitchen-Accessories,Storage,12.99,10.34,11.65,4.93,94,5 year,1-2 business days,In Stock,30 days,39,https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp
66,Microwave Oven,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",NULL,KIT-BRD-MIC-066,Kitchen-Accessories,Microwaves,89.99,12.13,79.07,4.82,59,1 year,1 week,In Stock,7 days,4,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/thumbnail.webp
67,Mug Tree Stand,The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.,NULL,KIT-BRD-TRE-067,Kitchen-Accessories,Organization,15.99,9.25,14.51,2.64,88,1 year,1 month,In Stock,30 days,45,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/thumbnail.webp
68,Pan,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",NULL,KIT-BRD-PRD-068,Kitchen-Accessories,Pans,24.99,3,24.24,2.79,90,1 year,3-5 business days,In Stock,30 days,17,https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/thumbnail.webp
69,Plate,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,NULL,KIT-BRD-PLA-069,Kitchen-Accessories,Plates,3.99,7.31,3.7,3.65,66,1 year,1-2 business days,In Stock,90 days,6,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp
70,Red Tongs,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,NULL,KIT-BRD-TON-070,Kitchen-Accessories,Tongs,6.99,14.52,5.98,4.42,82,No,1 week,In Stock,30 days,23,https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/thumbnail.webp
71,Silver Pot With Glass Cap,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",NULL,KIT-BRD-SIL-071,Kitchen-Accessories,Pots,39.99,5.7,37.71,3.22,40,1 year,1 month,In Stock,90 days,10,https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/thumbnail.webp
72,Slotted Turner,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",NULL,KIT-BRD-SLO-072,Kitchen-Accessories,Turners,8.99,13.35,7.79,3.4,88,Lifetime,1-2 business days,In Stock,7 days,34,https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/thumbnail.webp
73,Spice Rack,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,NULL,KIT-BRD-SPI-073,Kitchen-Accessories,Organization,19.99,12.09,17.57,4.87,79,1 week,overnight,In Stock,7 days,18,https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/thumbnail.webp
74,Spoon,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",NULL,KIT-BRD-SPO-074,Kitchen-Accessories,Utensils,4.99,1.53,4.91,4.03,59,1 year,1-2 business days,In Stock,90 days,15,https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/thumbnail.webp
75,Tray,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",NULL,KIT-BRD-TRA-075,Kitchen-Accessories,Trays,16.99,7.48,15.72,4.62,71,5 year,2 weeks,In Stock,7 days,23,https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/thumbnail.webp
76,Wooden Rolling Pin,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,NULL,KIT-BRD-WOO-076,Kitchen-Accessories,Baking,11.99,9.75,10.82,2.92,80,3 year,2 weeks,In Stock,30 days,11,https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/thumbnail.webp
77,Yellow Peeler,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,NULL,KIT-BRD-YEL-077,Kitchen-Accessories,Peelers,5.99,12.48,5.24,4.24,35,1 month,3-5 business days,In Stock,90 days,6,https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/thumbnail.webp
78,Apple MacBook Pro 14 Inch Space Grey,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",Apple,LAP-APP-APP-078,Laptops,Apple,1999.99,4.69,1906.19,3.65,24,3 year,2 weeks,In Stock,90 days,1,https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp
79,Asus Zenbook Pro Dual Screen Laptop,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",Asus,LAP-ASU-ASU-079,Laptops,Laptops,1799.99,11.14,1599.47,3.95,45,3 year,1 month,In Stock,7 days,1,https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp
80,Huawei Matebook X Pro,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",Huawei,LAP-HUA-HUA-080,Laptops,Laptops,1399.99,9.38,1268.67,4.98,75,No,overnight,In Stock,60 days,1,https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/thumbnail.webp
81,Lenovo Yoga 920,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",Lenovo,LAP-LEN-LEN-081,Laptops,Laptops,1099.99,6.55,1027.94,2.86,40,6 months,2 weeks,In Stock,No return,1,https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/thumbnail.webp
